case_id,batch_id,source_study,source_path,aoa_deg,re,nu,model,mesh_level,end_time,write_interval,purge_write,role,include_in_dataset,status
lhs_029,batch_002,parametricDataset,runs/lhs_029,3.56230589379,3085961.91178,1.66819946e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_030,batch_002,parametricDataset,runs/lhs_030,4.95224986117,4372851.65281,1.17726381e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_031,batch_002,parametricDataset,runs/lhs_031,-3.66563310422,3150602.45961,1.63397321e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_032,batch_002,parametricDataset,runs/lhs_032,14.8581041813,4655539.51084,1.10577947e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_033,batch_002,parametricDataset,runs/lhs_033,3.21142737961,3895579.92897,1.32149772e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_034,batch_002,parametricDataset,runs/lhs_034,5.30219675688,3189642.01094,1.61397423e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_035,batch_002,parametricDataset,runs/lhs_035,8.81207053673,4211396.55599,1.22239735e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_036,batch_002,parametricDataset,runs/lhs_036,9.95974315741,5367900.55149,9.59034161e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_037,batch_002,parametricDataset,runs/lhs_037,-1.86137873943,3373027.92381,1.52622514e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_038,batch_002,parametricDataset,runs/lhs_038,9.65388632159,3318431.38089,1.55133538e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_039,batch_002,parametricDataset,runs/lhs_039,15.394328747,4392370.9151,1.17203217e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_040,batch_002,parametricDataset,runs/lhs_040,13.9347601919,6607637.59333,7.79098419e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_041,batch_002,parametricDataset,runs/lhs_041,11.9760572508,4974923.56995,1.03478977e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_042,batch_002,parametricDataset,runs/lhs_042,4.3097890654,3522586.57776,1.46142611e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_043,batch_002,parametricDataset,runs/lhs_043,-0.890548608057,5116362.99635,1.00618349e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_044,batch_002,parametricDataset,runs/lhs_044,5.64572611356,4266412.05691,1.20663450e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_045,batch_002,parametricDataset,runs/lhs_045,12.166634714,8220793.27838,6.26216939e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_046,batch_002,parametricDataset,runs/lhs_046,-1.07695713991,7684678.44008,6.69904413e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_047,batch_002,parametricDataset,runs/lhs_047,-1.23294996149,4630047.35449,1.11186768e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_048,batch_002,parametricDataset,runs/lhs_048,2.33985613442,3809738.55441,1.35127383e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_049,batch_002,parametricDataset,runs/lhs_049,8.28409052851,5720137.24115,8.99978407e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_050,batch_003,parametricDataset,runs/lhs_050,-3.29700590374,7216387.68227,7.13376308e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_051,batch_003,parametricDataset,runs/lhs_051,10.5974547788,3991311.86289,1.28980149e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_052,batch_003,parametricDataset,runs/lhs_052,0.231242801373,6457988.02367,7.97152299e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_053,batch_003,parametricDataset,runs/lhs_053,-0.378458956051,6958072.08785,7.39860113e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_054,batch_003,parametricDataset,runs/lhs_054,0.572359277312,6028351.17155,8.53964849e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_055,batch_003,parametricDataset,runs/lhs_055,14.6868265821,3743894.44926,1.37503877e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_056,batch_003,parametricDataset,runs/lhs_056,0.0124009029685,5995727.85598,8.58611352e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_057,batch_003,parametricDataset,runs/lhs_057,15.1371508483,8148903.87353,6.31741407e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_058,batch_003,parametricDataset,runs/lhs_058,7.36982888304,4705030.65369,1.09414803e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_059,batch_003,parametricDataset,runs/lhs_059,7.56910169576,8631253.13784,5.96437147e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_060,batch_003,parametricDataset,runs/lhs_060,1.94494870938,4321696.20532,1.19119895e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_061,batch_003,parametricDataset,runs/lhs_061,-2.3792392676,8326946.66945,6.18233814e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_062,batch_003,parametricDataset,runs/lhs_062,7.63762813553,3129380.48458,1.64505404e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_063,batch_003,parametricDataset,runs/lhs_063,-1.54036299036,4844957.27246,1.06254807e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_064,batch_003,parametricDataset,runs/lhs_064,2.954267504,4993804.45061,1.03087737e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_065,batch_003,parametricDataset,runs/lhs_065,-3.82185799829,5927061.92286,8.68558498e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_066,batch_003,parametricDataset,runs/lhs_066,14.4354753584,3485519.1418,1.47696793e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_067,batch_003,parametricDataset,runs/lhs_067,13.2082448408,4585734.38708,1.12261190e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_068,batch_003,parametricDataset,runs/lhs_068,8.93081992557,3776733.05463,1.36308284e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_069,batch_003,parametricDataset,runs/lhs_069,10.3843584683,6336964.36532,8.12376353e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_070,batch_003,parametricDataset,runs/lhs_070,-2.25994412862,5172580.46475,9.95247930e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_071,batch_003,parametricDataset,runs/lhs_071,15.9532186667,7305526.29565,7.04672024e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_072,batch_003,parametricDataset,runs/lhs_072,1.07808472862,7427772.84892,6.93074506e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_073,batch_003,parametricDataset,runs/lhs_073,6.28917634129,4166345.57847,1.23561522e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_074,batch_003,parametricDataset,runs/lhs_074,5.73158961384,3612621.19074,1.42500410e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_075,batch_004,parametricDataset,runs/lhs_075,6.3713994062,3276021.3536,1.57141833e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_076,batch_004,parametricDataset,runs/lhs_076,4.63403791596,3568283.47458,1.44271049e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_077,batch_004,parametricDataset,runs/lhs_077,2.02431172584,5429137.07422,9.48216987e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_078,batch_004,parametricDataset,runs/lhs_078,11.8235301567,3044114.47271,1.69113220e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_079,batch_004,parametricDataset,runs/lhs_079,4.10455015026,6726489.55251,7.65332342e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_080,batch_004,parametricDataset,runs/lhs_080,12.6632801718,8923232.03116,5.76921006e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_081,batch_004,parametricDataset,runs/lhs_081,0.480579666974,8720107.36423,5.90359704e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_082,batch_004,parametricDataset,runs/lhs_082,13.172954642,5052789.74638,1.01884311e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_083,batch_004,parametricDataset,runs/lhs_083,2.80307985306,3667527.76819,1.40367035e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_084,batch_004,parametricDataset,runs/lhs_084,13.7467663765,7784721.99955,6.61295291e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_085,batch_004,parametricDataset,runs/lhs_085,9.35122512767,4072720.31382,1.26402002e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_086,batch_004,parametricDataset,runs/lhs_086,1.73005234425,6816320.22708,7.55246207e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_087,batch_004,parametricDataset,runs/lhs_087,12.4724903297,5291689.78852,9.72846143e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_088,batch_004,parametricDataset,runs/lhs_088,10.0988230449,4442299.30852,1.15885933e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_089,batch_004,parametricDataset,runs/lhs_089,5.13490263484,6636263.97502,7.75737677e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_090,batch_004,parametricDataset,runs/lhs_090,5.97740389132,4881952.32098,1.05449616e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_091,batch_004,parametricDataset,runs/lhs_091,10.6763375893,8563970.32111,6.01123055e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_092,batch_004,parametricDataset,runs/lhs_092,-2.81781972583,3428092.4838,1.50170978e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
